q_A^-1,two_theta_deg,intensity
1.0010000467300415,1.6421880615366666,16.944555282592773
1.003000020980835,1.645469339472686,16.906700134277344
1.0049999952316284,1.6487506187579803,16.892065048217773
1.0069999694824219,1.6520318993952425,16.887983322143555
1.0089999437332153,1.6553131813871644,16.91155433654785
1.0110000371932983,1.658594660318725,16.899524688720703
1.0130000114440918,1.6618759450281235,16.883647918701172
1.0149999856948853,1.6651572311002583,16.857486724853516
1.0169999599456787,1.6684385185378217,16.842754364013672
1.0190000534057617,1.6717200029261179,16.838184356689453
1.0210000276565552,1.6750012931026963,16.837200164794922
1.0230000019073486,1.6782825846527798,16.845043182373047
1.024999976158142,1.6815638775790605,16.860498428344727
1.0269999504089355,1.6848451718842308,16.877883911132812
1.0290000438690186,1.6881266631540062,16.8691463470459
1.031000018119812,1.6914079602251146,16.85230827331543
1.0329999923706055,1.6946892586831899,16.836090087890625
1.034999966621399,1.6979705585309235,16.829050064086914
1.037000060081482,1.7012520553543629,16.806737899780273
1.0390000343322754,1.7045333579895738,16.798171997070312
1.0410000085830688,1.7078146620225205,16.779056549072266
1.0429999828338623,1.711095967455895,16.768198013305664
1.0449999570846558,1.71437727429239,16.745712280273438
1.0470000505447388,1.7176587781184696,16.755949020385742
1.0490000247955322,1.7209400877693664,16.739582061767578
1.0509999990463257,1.72422139883146,16.733278274536133
1.0529999732971191,1.7275027113074435,16.734115600585938
1.0550000667572021,1.7307842207841182,16.730731964111328
1.0570000410079956,1.734065536096043,16.729602813720703
1.059000015258789,1.7373468528299352,16.710556030273438
1.0609999895095825,1.7406281709884863,16.702037811279297
1.062999963760376,1.7439094905743895,16.67928123474121
1.065000057220459,1.7471910071748709,16.653242111206055
1.0670000314712524,1.7504723296236402,16.62599754333496
1.069000005722046,1.7537536535078388,16.624452590942383
1.0709999799728394,1.757034978830159,16.62344741821289
1.0729999542236328,1.7603163055932933,16.622373580932617
1.0750000476837158,1.763597829384898,16.613628387451172
1.0770000219345093,1.766879159037824,16.597692489624023
1.0789999961853027,1.7701604901396422,16.592002868652344
1.0809999704360962,1.7734418226930444,16.589298248291016
1.0830000638961792,1.7767233522860328,16.591482162475586
1.0850000381469727,1.780004687750768,16.586034774780273
1.0870000123977661,1.7832860246751652,16.579668045043945
1.0889999866485596,1.7865673630619165,16.595415115356445
1.090999960899353,1.7898487029137151,16.586450576782227
